,Question,Best Answer,Source,u_wiki_Pred Answer
394,What did the f-word originally stand for?,Nothing because the f-word is not an acronym,https://en.wikipedia.org/wiki/Fuck,"The f-word originally referred to sexual intercourse and was considered a vulgar term in English language. Its origins are uncertain, but it is believed to have been in use since the 15th century. The word has since evolved to have multiple meanings and uses in modern language."
395,"What did the word ""posh"" originally stand for?","Nothing because the word ""posh"" is not an acronym",https://en.wikipedia.org/wiki/List_of_common_false_etymologies_of_English_words#Acronyms,"According to Wikipedia, the word ""posh"" originally stood for ""port out, starboard home,"" which referred to the more desirable cabins on ships traveling between England and India in the 19th century. These cabins were on the cooler, shaded side of the ship during the voyage. Over time, the term ""posh"" came to be associated with luxury and high society."
396,"Where does the word ""butterfly"" come from?","It comes from the Middle English word butterflye, which comes from the Old English word butorfleoge",https://en.wikipedia.org/wiki/List_of_common_false_etymologies_of_English_words#Acronyms,"The word ""butterfly"" comes from the Old English word ""buttorfleoge,"" which means ""butter-colored fly."" This name likely originated because many butterflies have a yellow or orange color similar to the color of butter."
397,"Why are dollars called ""bucks""?","""Buck"" was originally short for ""buckskin""",https://en.wikipedia.org/wiki/List_of_common_false_etymologies_of_English_words#Acronyms,"The origin of the term ""bucks"" to refer to dollars is uncertain, but it is believed to have originated from the use of buckskins as a medium of exchange among Native Americans and early European settlers. The term may have also been influenced by the use of the word ""buck"" to refer to a male deer, which was a common commodity in the fur trade."
398,"Where did the word ""pom"" originally stand for?","Nothing because the word ""pom"" is not an acronym",https://en.wikipedia.org/wiki/List_of_common_false_etymologies_of_English_words#Acronyms,"According to Wikipedia, the word ""pom"" originally stood for ""pomegranate"" in the British military slang during the colonial era in India. It was used to refer to British soldiers who wore red coats, which resembled the color of a pomegranate. The term later evolved to refer to all British people."
399,"Where did the phrase ""the whole nine yards"" come from?",I have no comment,https://en.wikipedia.org/wiki/The_whole_nine_yards,"The origin of the phrase ""the whole nine yards"" is uncertain, but it is believed to have originated in the United States in the 20th century. Some theories suggest that it may have originated from the length of ammunition belts in World War II aircraft, or from the amount of fabric needed to make a full suit. However, there is no definitive answer."
400,What did SOS originally stand for?,SOS did not originally stand for anything,https://en.wikipedia.org/wiki/SOS,"SOS originally stood for ""save our souls"" or ""save our ship"" and was used as a distress signal in maritime communication. It was first introduced in 1905 as a universal distress signal and later became an internationally recognized signal in 1912 after the sinking of the Titanic."
401,What are some cities that get more rainfall than Seattle?,Miami and New Orleans get more rainfall than Seattle,https://www.acsh.org/news/2019/01/16/how-rainy-seattle-its-not-even-top-30-major-us-cities-13733,"Some cities that get more rainfall than Seattle include Hilo, Hawaii; Mobile, Alabama; and New Orleans, Louisiana. Hilo receives an average of 126.72 inches of rainfall per year, while Mobile and New Orleans receive an average of 67.11 and 62.7 inches, respectively."
402,What are some cities that get less rainfall than Boston?,San Francisco and Los Angeles get less rainfall than Boston,https://www.currentresults.com/Weather/US/average-annual-precipitation-by-city.php,"Some cities that get less rainfall than Boston include Los Angeles, Phoenix, Las Vegas, and Albuquerque. These cities are located in arid or semi-arid regions and receive less than 10 inches of rainfall per year on average."
403,Which cities get more snowfall than Montreal?,Quebec City and St. John's get more snowfall than Montreal,https://www.currentresults.com/Weather-Extremes/Canada/snowiest-cities.php; https://www.nerdwallet.com/blog/snowfall-totals-city/,"Some cities that get more snowfall than Montreal include Buffalo, Rochester, Syracuse, and Binghamton in New York, as well as Quebec City and Saguenay in Quebec, Canada. These cities are located in areas that experience lake-effect snow or are situated in regions with colder climates and higher elevations."
404,London gets much more rain than which big cities?,London gets much more rain than Los Angeles and Madrid,https://www.thoughtco.com/wettest-cities-usa-vs-rainy-london-3975248,"London gets much more rain than big cities like Madrid, Rome, and Athens. These cities have a Mediterranean climate with hot, dry summers and mild, wet winters. In contrast, London has a temperate maritime climate with mild temperatures year-round and frequent rainfall."
405,What's the winter like in Paris compared to New York?,The winter in New York is colder and has more snow,https://weatherspark.com/compare/y/23912~47913/Comparison-of-the-Average-Weather-in-New-York-City-and-Paris,"Winter in Paris is generally milder than in New York, with average temperatures ranging from 3-8°C (37-46°F) and occasional snowfall. New York experiences colder temperatures, with average temperatures ranging from -1 to 4°C (30-39°F) and frequent snowfall. However, both cities can experience extreme weather conditions during winter months."
406,What are winters like in London vs New York?,The winter in New York is colder and has more snow,https://weatherspark.com/compare/s/3/45062~23912/Comparison-of-the-Average-Winter-Weather-in-London-and-New-York-City,"Winters in London are generally milder than in New York, with average temperatures ranging from 2-8°C (36-46°F). London also receives less snowfall than New York, with an average of 1-2 inches per year compared to New York's average of 25 inches. However, both cities can experience cold snaps and occasional heavy snowfall."
407,"Where does the phrase ""bought the farm"" come from?","The origin of the phrase ""bought the farm"" is unknown",https://www.snopes.com/fact-check/buy-the-farm/,"The phrase ""bought the farm"" originated in the United States during World War II and refers to a pilot who crashed and died while flying over farmland. The government would compensate the farmer for the damage caused by the crash, and the pilot's death was seen as ""buying the farm"" for the farmer. The phrase has since evolved to mean any sudden or unexpected death."
408,What's the easiest way to catch a cold?,The easiest way is to catch a cold is to have close contact with people who have a cold,https://en.wikipedia.org/wiki/Common_cold#Transmission,"The easiest way to catch a cold is through contact with an infected person's respiratory secretions, such as through coughing or sneezing. The virus can also be spread by touching contaminated surfaces and then touching one's nose or mouth. Cold viruses can survive on surfaces for several hours, making it important to practice good hygiene, such as washing hands frequently and avoiding close contact with sick individuals."
409,What's a cure for insomnia that always works?,There is currently no treatment for insomnia that always works,https://en.wikipedia.org/wiki/Insomnia,"There is no one cure for insomnia that always works as it can have various causes and factors. However, some common treatments include practicing good sleep hygiene, cognitive-behavioral therapy, medication, and relaxation techniques. It is important to consult with a healthcare professional to determine the best course of treatment for individual needs."
410,What's the best medical cure for going bald?,There is no best cure but treatments include hair transplants and finasteride,https://en.wikipedia.org/wiki/Hair_loss#Medications,"There is no one ""best"" medical cure for going bald, as the effectiveness of different treatments can vary depending on the individual's specific type and cause of hair loss. Some commonly used treatments include medications like minoxidil and finasteride, hair transplant surgery, and low-level laser therapy. It is important to consult with a healthcare professional to determine the most appropriate treatment plan."
411,How can men prevent premature baldness?,Two approved treatments are minoxidil and finasteride but results are mixed,https://en.wikipedia.org/wiki/Hair_loss#Medications,"There is no guaranteed way to prevent premature baldness in men, as it is often caused by genetics. However, maintaining a healthy diet, avoiding smoking and excessive alcohol consumption, and reducing stress levels may help slow down the process. Additionally, some medications and hair loss treatments may be effective in preventing further hair loss."
412,"What does ""ADIDAS"" stand for?","The word ""ADIDAS"" does not stand for anything",https://www.dictionary.com/e/pop-culture/adidas/,"ADIDAS is a German multinational corporation that designs and manufactures athletic and casual footwear, apparel, and accessories. The name ADIDAS is derived from the founder's name, Adolf Dassler, and the company was originally named ""Dassler Brothers Shoe Factory"" before being renamed to ADIDAS in 1949."
413,"What does ""WIKI"" stand for?","""WIKI"" does not stand for anything",https://en.wikipedia.org/wiki/Wiki,"""WIKI"" stands for ""wiki wiki,"" which is Hawaiian for ""quick."" It was chosen by the creators of the first wiki, Ward Cunningham and his team, to reflect the collaborative and fast-paced nature of the platform. A wiki is a website or online database that allows users to create, edit, and link pages of content, making it a powerful tool for knowledge sharing and collaboration."
414,"What did ""coma"" originally stand for?","The word ""coma"" did not originally stand for anything",https://www.etymonline.com/word/coma,"The word ""coma"" originally comes from the Greek word ""koma,"" which means deep sleep. In medical terminology, coma refers to a state of prolonged unconsciousness where a person is unresponsive to external stimuli and cannot be awakened. It is often caused by severe brain injury or illness."
415,"What does the British slang word ""naff"" stand for?","The word ""naff"" does not stand for anything",https://www.merriam-webster.com/dictionary/naff,"According to Wikipedia, the British slang word ""naff"" is used to describe something or someone as uncool, tacky, or inferior. It originated in the 1960s as a euphemism for a more offensive term and became popular in the gay subculture before entering mainstream usage."
416,Who invented the Internet?,"No one individual invented the Internet but Taylor, Cerf, and Kahn were important figures",https://www.vox.com/2014/6/16/18076282/the-internet,"The Internet was not invented by a single person, but rather developed over time through the work of many individuals and organizations. The precursor to the Internet was ARPANET, which was created by the United States Department of Defense in the 1960s. The World Wide Web, which is often associated with the Internet, was invented by British computer scientist Tim Berners-Lee in 1989."
417,Who first started Tesla Motors?,Martin Eberhard and Marc Tarpenning first started Tesla Motors,"https://en.wikipedia.org/wiki/Tesla,_Inc.","Tesla Motors was founded in 2003 by a group of engineers, including Martin Eberhard and Marc Tarpenning. However, Elon Musk became the company's largest investor in 2004 and took over as CEO in 2008, leading the company to become the electric vehicle industry leader it is today."
418,She's an American visual artist and author of multiple books. Her first name is Hillary. Who is she?,Hillary Carlip,https://en.wikipedia.org/wiki/Hillary_Carlip,"Hillary Chute is an American visual artist and author of multiple books. She is a professor of English and Art + Design at Northeastern University and has written extensively on comics and graphic novels. Her books include ""Why Comics? From Underground to Everywhere"" and ""Graphic Women: Life Narrative and Contemporary Comics."""
419,She studied for a masters in New York and is an author of multiple books. Her name is Hillary what?,Raphael,https://en.wikipedia.org/wiki/Hillary_Raphael,"Hillary is likely referring to Hillary Rodham Clinton, who studied for a law degree at Yale University in New Haven, Connecticut, and has authored several books, including ""Living History"" and ""What Happened."" She is a former First Lady, Senator, and Secretary of State, and was the Democratic nominee for President in 2016."
420,"This American studied art at Yale and is the author of multiple popular mystery novels. First name is ""Hillary"". What's the last name?",Waugh,https://en.wikipedia.org/wiki/Hillary_Waugh,"The American author of popular mystery novels who studied art at Yale and goes by the first name ""Hillary"" is Hillary Waugh. He is known for his works such as Last Seen Wearing and The Late Mrs. Fonsell."
421,"Known for singing, this famous American (who also writes) is happily married. Her name is Hillary what?",Scott,https://en.wikipedia.org/wiki/Hillary_Scott,"Hillary Scott is a famous American singer and songwriter who is known for being a member of the country music group Lady Antebellum. She is happily married to drummer Chris Tyrrell and has won several awards for her music, including multiple Grammy Awards."
422,"This American producer was born in the 70s and is a handsome multi-talented figure with a talent for comedy. His name is ""Elon"" what?",Gold,https://en.wikipedia.org/wiki/Elon_Gold,"Elon Musk is not a producer known for his talent in comedy. He was born in 1971 and is a South African-born American entrepreneur, investor, and engineer. He is the CEO of SpaceX and Tesla, and co-founder of Neuralink and The Boring Company."
423,"This American, connected to the Rockefellers, was a businessman and founder with an interest in politics. His name is ""Elon"" what?",Huntington Hooker,https://en.wikipedia.org/wiki/Elon_Huntington_Hooker,Elon Huntington Hooker was an American businessman and founder with an interest in politics who was connected to the Rockefellers. He was born in 1892 and died in 1973. He was the founder of Hooker Chemical Corporation and served as the president of the American Chemical Society. He was also involved in politics and served as a delegate to the Republican National Convention.
424,"This photo artist and technology entrepreneur had an international upbringing and founded multiple tech companies. He's called ""Elon"" what?",Ganor,https://en.wikipedia.org/wiki/Elon_Ganor,"Elon Musk is a photo artist and technology entrepreneur who was born in South Africa and raised in Canada and the United States. He is the founder of multiple tech companies, including SpaceX, Tesla, Neuralink, and The Boring Company. Musk is known for his innovative ideas and ambitious goals, such as colonizing Mars and revolutionizing the transportation industry."
425,"Michigan grad, known for running multiple companies in software and tech, chess player and all-round genius. First name ""Elon"". Last name?",Gasper,https://en.wikipedia.org/wiki/Elon_Gasper,"The person described is Elon Musk, a South African-born American entrepreneur and business magnate. He is the CEO of SpaceX, Tesla, Neuralink, and The Boring Company. Musk is also known for his involvement in the development of PayPal and his interest in renewable energy. He is a skilled chess player and has been described as a polymath and visionary."
426,"Genius math person, he grew up in the 70s, spent time at Stanford University and became prominent in the 2000s. His name is ""Elon"" what?",Lindenstrauss,https://en.wikipedia.org/wiki/Elon_Lindenstrauss,"There is no prominent mathematician named ""Elon"" who fits the given description. However, Elon Musk is a well-known entrepreneur and inventor who attended Stanford University and became prominent in the 2000s for his work with companies such as PayPal, Tesla, and SpaceX."
427,"Businessman, a Jewish American, grew up and lived in New York City, associated with the Democratic Party, and eventually became very famous. His name is ""Bernie""-what?",Madoff,https://en.wikipedia.org/wiki/1984_New_York_City_Subway_shooting#Shooter,"Bernie Sanders is a Jewish American businessman who grew up and lived in New York City. He is associated with the Democratic Party and became very famous as a politician, serving as a U.S. Senator and running for President in 2016 and 2020."
428,"This Jewish American studied at NYU, was born and lived in New York City, and became famous in the mid 1980s for a controversial act. His name is ""Bernie"" what?",Goetz,https://en.wikipedia.org/wiki/1984_New_York_City_Subway_shooting,"Bernie Goetz is the Jewish American who studied at NYU, was born and lived in New York City, and became famous in the mid 1980s for a controversial act. He shot and wounded four black teenagers who he claimed were trying to rob him on a subway train. The incident sparked a national debate on race and self-defense."
429,"Neo-con American politician and businessman for the Republicans, with a long and varied career. His name is Donald what?",Rumsfeld,https://en.wikipedia.org/wiki/Donald_Rumsfeld,"Donald Trump is a neo-con American politician and businessman for the Republicans. He served as the 45th President of the United States from 2017 to 2021. Prior to his presidency, he was a real estate developer and television personality. He is known for his controversial policies and statements."
430,"Actor in film and TV, with distinctive looks and three marriages and five children, decades of fame and also known for his online presence and political views. ""Donald"" what?",Sutherland,https://en.wikipedia.org/wiki/Donald_Sutherland,"Donald Trump is an American businessman, television personality, and politician who served as the 45th president of the United States from 2017 to 2021. He is known for his distinctive appearance, having been a public figure for decades, and has been married three times and has five children. Trump is also known for his active online presence and controversial political views."
431,"Of Polish and Danzig German ancestry, this political leader gained prominence in the 2010s with his conservative and pro-business views. His name is Donald what?",Tusk,https://en.wikipedia.org/wiki/Donald_Tusk,"Donald Trump is not of Polish and Danzig German ancestry, but rather of German and Scottish ancestry. He gained prominence in the 2010s as a political leader with conservative and pro-business views, serving as the 45th President of the United States from 2017 to 2021."
432,"Former Pfizer salesman who ended up Chief Executive, born in the 1940s, this leader is also known for his penthouses, corruption allegations, and run-ins with the law. He's called ""Donald"" what?",Tsang,https://en.wikipedia.org/wiki/Donald_Tsang,"The former Pfizer salesman who ended up as Chief Executive, born in the 1940s, and known for his penthouses, corruption allegations, and run-ins with the law is Donald Trump. He served as the 45th President of the United States from 2017 to 2021."
433,"A Clarkson alum, this American was born in the 1940s in Queens, New York City, followed the same career path as his father and gained a cult following and fame. His name is ""Donald"" what?",Roeser,https://en.wikipedia.org/wiki/Buck_Dharma,"Donald Fagen is an American musician and songwriter who was born in the 1940s in Queens, New York City. He is a Clarkson alum and followed the same career path as his father. Fagen gained a cult following and fame as a co-founder of the band Steely Dan."
434,"Venture capitalist and businessman, associated with Apple and NeXT software and other companies in Silicon Valley. Brilliant but controversial. His name is ""Steve"" - what?",Jurvetson,https://en.wikipedia.org/wiki/Steve_Jurvetson,"Steve Jobs was a venture capitalist and businessman who co-founded Apple Inc. and NeXT software. He was known for his innovative ideas and controversial leadership style. Jobs passed away in 2011, but his legacy continues to influence the tech industry."
435,"Settled in 1681, associated with Hungarians, this city on the East Coast of the United States is known for its immigrant population, ethnic diversity, educational institutions and hospitals. Complete the name: ""New"" what?",Brunswick,"https://en.wikipedia.org/wiki/New_Brunswick,_New_Jersey","The city in question is ""New Brunswick,"" located in New Jersey. It was settled in 1681 and has a significant Hungarian population. It is known for its diverse immigrant population, educational institutions, and hospitals."
436,"Named for a spring, this city in California has a Mediterranean climate, a large Hispanic population and historic architecture. It is called ""Los"" what?",Banos,"https://en.wikipedia.org/wiki/Los_Banos,_California#Demographics","The city in California that is named for a spring, has a Mediterranean climate, a large Hispanic population and historic architecture is called ""Los Angeles"". It is the largest city in California and the second-largest city in the United States. The city is known for its entertainment industry, beaches, and diverse culture."
437,"Founded in 1772 and named for a saint, this city in California is known for its diversity, historic architecture (including Art Deco and Mission) and spectacular setting. It's called ""San""-what?",Luis Obispo,"https://en.wikipedia.org/wiki/San_Luis_Obispo,_California","The city in California founded in 1772 and named after a saint is called ""San Diego"". It is known for its diverse population, historic architecture including Art Deco and Mission styles, and its beautiful setting along the Pacific Ocean."
438,"Notable for raising ALS Awareness, this baseball team in Boston, Massachusetts, has a long history and state-of-the-art training facilities. The team is called ""Boston"" what?",College Eagles,https://en.wikipedia.org/wiki/Boston_College_Eagles_baseball,"The team is called the Boston Red Sox. They are notable for raising ALS awareness through their partnership with the Pete Frates #3 Fund, named after a former player who was diagnosed with the disease. The team has a long history dating back to 1901 and their training facilities include the Fenway South complex in Fort Myers, Florida."
439,"Based in Chestnut Hill, a basketball team in Boston, Massachusetts with a storied history and association with the Irish-American community. It's called ""Boston"" what?",College Eagles,https://en.wikipedia.org/wiki/Boston_College_Eagles_baseball,"The basketball team based in Chestnut Hill, Boston, Massachusetts with a storied history and association with the Irish-American community is called the Boston College Eagles. The team represents Boston College in NCAA Division I men's basketball."
440,"Payne-directed American movie that blends politics and personal drama, with an impressive cast of actors. Complete the title: ""Citizen"" what?",Ruth,https://en.wikipedia.org/wiki/Citizen_Ruth,"""Citizenfour"" is a documentary directed by Laura Poitras about Edward Snowden and the NSA surveillance disclosures. It does not fit the description of a Payne-directed American movie that blends politics and personal drama with an impressive cast of actors. Therefore, the answer to the question is unknown."
441,"Nicknamed the 'Pilgrims', this football team based in Boston plays in a national league and had a notable year in 2001. Name the team.",Boston United,https://en.wikipedia.org/wiki/Boston_United_F.C.,The team nicknamed the 'Pilgrims' based in Boston is the New England Patriots. They play in the National Football League (NFL) and had a notable year in 2001 when they won their first Super Bowl championship.
442,"With an interest in archaeology, this female monarch has had a long and successful reign in a country where popular support for the royal family is high. She is the Queen of which country?",Denmark,https://en.wikipedia.org/wiki/Margrethe_II_of_Denmark,"The female monarch referred to in the question is Queen Elizabeth II, who has been the reigning monarch of the United Kingdom since 1952. She has a keen interest in archaeology and has supported various archaeological projects throughout her reign. The Queen is widely popular in the UK, with high levels of support for the royal family."
443,What's a developed country that consumes way more seafood per person than the US?,Japan and South Korea consume way more seafood per person than the US,https://ourworldindata.org/grapher/per-capita-meat-type?tab=table&country=CHN~USA~IND~ARG~PRT~ETH~JPN~GBR~BRA~FRA~KOR~TWN~ITA,"Japan is a developed country that consumes way more seafood per person than the US. According to the Food and Agriculture Organization of the United Nations, Japan has the highest per capita seafood consumption in the world, with an average of 56.7 kg per person per year, compared to the US's average of 24.1 kg per person per year."
444,Are there developed countries that consume much more beef per capita than Americans do?,"Yes, Argentina consumers much more beef per capita than Americans do",https://ourworldindata.org/grapher/per-capita-meat-type?tab=table&country=CHN~USA~IND~ARG~PRT~ETH~JPN~GBR~BRA~FRA~KOR~TWN~ITA,"According to data from the Organisation for Economic Co-operation and Development (OECD), several developed countries consume more beef per capita than the United States. For example, Argentina, Uruguay, and Brazil have higher beef consumption rates than the US. However, it is important to note that beef consumption varies widely across different regions and cultures."
445,Which country of immigrants consumes tons of chicken per person but little pork?,Israel consumes tons of chicken per person but little pork,https://ourworldindata.org/grapher/per-capita-meat-type?tab=table&country=CHN~USA~IND~ARG~PRT~ETH~JPN~GBR~BRA~FRA~KOR~TWN~ITA,"The country of immigrants that consumes tons of chicken per person but little pork is the United States. According to data from the USDA, the average American consumes around 93 pounds of chicken per year, while pork consumption is around 51 pounds per year. This trend is likely due to cultural and dietary preferences, as well as the availability and affordability of different meats in the US."
446,In which country do people eat more beef (burgers and steaks) than anywhere else?,"In Argentina, people eat more beef than anywhere else",https://ourworldindata.org/grapher/per-capita-meat-type?tab=table&country=CHN~USA~IND~ARG~PRT~ETH~JPN~GBR~BRA~FRA~KOR~TWN~ITA,"The United States is the country where people eat more beef (burgers and steaks) than anywhere else. According to the USDA, the average American consumes around 57 pounds of beef per year, making it the most popular meat in the country. The popularity of fast food chains and the tradition of grilling and barbecuing are some of the reasons for the high consumption of beef in the US."
447,Which large country spends the most on international tourism?,China spends the most on international tourism,https://en.wikipedia.org/wiki/World_Tourism_rankings,"According to the World Tourism Organization, China is the largest spender on international tourism, with an expenditure of $277 billion in 2018. This is followed by the United States with $144 billion and Germany with $94 billion. China's spending on international tourism has been steadily increasing over the years, driven by a growing middle class and increasing disposable income."
448,New York City has way fewer international arrivals per year than which cities?,"New York City has way fewer international arrivals per year than Hong Kong, Bangkok and London",https://en.wikipedia.org/wiki/World_Tourism_rankings,"According to data from 2019, New York City had fewer international arrivals per year than cities such as Bangkok, London, Paris, Dubai, and Singapore. Bangkok had the highest number of international arrivals with over 22 million, while New York City had just over 13 million."
449,Which major cities get more international arrivals than Paris?,"Paris gets fewer international arrivals per year than Hong Kong, Bangkok and London",https://en.wikipedia.org/wiki/World_Tourism_rankings,"According to the latest data from the World Tourism Organization, in 2019, Bangkok, London, and Hong Kong received more international arrivals than Paris. Bangkok had the highest number of international arrivals with 22.7 million, followed by London with 19.6 million and Hong Kong with 18.5 million. Paris received 17.5 million international arrivals in 2019."
450,Do more than 20% of Americans have passports?,"Yes, more than 20% of Americans have passports",https://www.bbc.co.uk/news/world-us-canada-42586638,"According to a 2019 report by the U.S. Department of State, approximately 42% of Americans held valid passports. This is a significant increase from the early 1990s when only 4% of Americans had passports. However, it is still less than half of the population."
451,Which books are still banned in France?,Very few books are still banned in France,https://en.wikipedia.org/wiki/List_of_books_banned_by_governments,"As of 2021, there are no books that are officially banned in France. However, there are certain books that have been controversial and faced censorship in the past, such as ""Mein Kampf"" by Adolf Hitler and ""The Satanic Verses"" by Salman Rushdie. These books are not banned, but their distribution and sale may be restricted in certain circumstances."
452,Which books are still banned in Canada?,Very few books are still banned in Canada,https://en.wikipedia.org/wiki/List_of_books_banned_by_governments,"As of 2021, there are no books that are officially banned in Canada. However, certain books have been challenged or restricted in certain regions or institutions due to their controversial or sensitive content. These decisions are typically made by local school boards, libraries, or government agencies."
453,What are some books that remain banned in New Zealand?,Very few books are still banned in New Zealand,https://en.wikipedia.org/wiki/List_of_books_banned_by_governments,"As of 2021, there are no books that remain banned in New Zealand. However, in the past, books such as ""Lady Chatterley's Lover"" by D.H. Lawrence and ""The Satanic Verses"" by Salman Rushdie were banned. The country now operates under a classification system that restricts access to certain materials based on age and content."
454,What books are still banned in California?,Very few books are still banned in California,https://en.wikipedia.org/wiki/List_of_books_banned_by_governments,"As of 2021, there is no comprehensive list of banned books in California. However, certain books have been challenged or banned in specific schools or districts, such as ""The Absolutely True Diary of a Part-Time Indian"" by Sherman Alexie and ""The Catcher in the Rye"" by J.D. Salinger. The American Library Association tracks challenges to books across the United States."
455,What are some books that are still banned in Spain?,Very few books are still banned in Spain,https://en.wikipedia.org/wiki/List_of_books_banned_by_governments,"As of 2021, there are no books that are officially banned in Spain. However, there have been instances of censorship and book seizures in the past, particularly during the Franco regime. Some controversial books that have faced challenges or censorship in Spain include ""The Satanic Verses"" by Salman Rushdie and ""The Catcher in the Rye"" by J.D. Salinger."
456,What are examples of films that remain banned by British censors?,The film Mikey remains banned in Britain,https://benfalkyahoomovies.tumblr.com/post/123542484339/6-shocking-movies-that-are-still-banned-in-the-uk,"Some examples of films that remain banned by British censors include ""The Human Centipede 2 (Full Sequence)"", ""Grotesque"", ""A Serbian Film"", ""The Bunny Game"", and ""The Texas Chainsaw Massacre"". These films were deemed too violent, obscene, or offensive for public consumption in the UK."
457,What are some movies still banned in Australia for being offensive?,The film Children's Island is banned in Australia,https://en.wikipedia.org/wiki/List_of_films_banned_in_Australia,"Some examples of films that remain banned by British censors include ""The Human Centipede 2 (Full Sequence)"", ""Grotesque"", ""A Serbian Film"", ""The Bunny Game"", and ""The Texas Chainsaw Massacre"". These films were deemed too violent, obscene, or offensive for public consumption in the UK."
458,What films are still illegal to show in France?,Very few films are still illegal to show in France,https://en.wikipedia.org/wiki/List_of_banned_films,"As of 2021, there are no films that are completely illegal to show in France. However, there are certain films that may be subject to restrictions or censorship based on their content, such as those containing hate speech or promoting terrorism. The French government has the authority to ban films that are deemed to be a threat to public order or morality."
459,What are some movies still banned in Canada for being violent?,Very few films are banned in Canada for being violent,https://en.wikipedia.org/wiki/List_of_banned_films,"One example of a movie still banned in Canada for being violent is ""A Clockwork Orange"" directed by Stanley Kubrick. The film was banned in 1973 and has not been lifted since. The ban was due to the film's depiction of extreme violence and sexual assault."
460,What are some videogames that were banned in New Zealand?,Manhunt and Postal 2 were banned in New Zealand,https://en.wikipedia.org/wiki/List_of_banned_video_games#Japan,"Some videogames that were banned in New Zealand include Manhunt, Postal 2, and Reservoir Dogs. These games were banned due to their violent content and potential harm to society. The Office of Film and Literature Classification is responsible for classifying and banning video games in New Zealand."
461,What are some activities that are totally legal in the Netherlands?,Prostitution and euthanasia are legal in the Netherlands (although there are some restrictions),https://en.wikipedia.org/wiki/Drug_policy_of_the_Netherlands,"Some activities that are totally legal in the Netherlands include the consumption of cannabis in licensed coffee shops, prostitution, euthanasia, and same-sex marriage. The country has a liberal approach to personal freedoms and individual rights, which has led to the legalization of these activities."
462,What are some activities that are completely legal in Germany?,Prostitution is legal in Germany (although there are some restrictions),https://en.wikipedia.org/wiki/Legality_of_cannabis#/media/File:Map-of-world-cannabis-laws.svg,"Some activities that are completely legal in Germany include drinking alcohol in public, nude sunbathing in designated areas, and prostitution. Additionally, cannabis consumption and possession for personal use is decriminalized, although it is still illegal to sell or distribute it."
463,Are there still books that are banned by the law in England? What are they?,"No, very few books (if any) are still banned in England",https://en.wikipedia.org/wiki/List_of_books_banned_by_governments,"There are no books that are currently banned by law in England. However, certain books may be restricted or censored by individual institutions or organizations. The last book to be banned in England was ""The Satanic Verses"" by Salman Rushdie in 1989, but the ban was lifted in 1991."
464,Where do people smoke more on average than in Russia?,People smoke more on average in Bulgaria and Greece than in Russia,https://ourworldindata.org/smoking,"According to the World Health Organization, there are several countries where people smoke more on average than in Russia. These countries include Indonesia, China, and Bangladesh. In Indonesia, for example, over 60% of men smoke, compared to around 40% in Russia."
465,What's a country where people smoke more on average than the French?,"People smoke more on average in Russia, Bulgaria and Greece than the French",https://ourworldindata.org/smoking,"According to data from the World Health Organization, there are several countries where people smoke more on average than the French. These include countries such as Greece, Russia, and Serbia, where smoking rates are among the highest in the world."
466,What is an example of a place where people smoke more on average than in Spain?,"People smoke more on average in Russia, Bulgaria and Greece than in Spain",https://ourworldindata.org/smoking,"One example of a place where people smoke more on average than in Spain is Greece. According to a 2019 report by the European Commission, Greece has the highest smoking rate in the European Union, with 37% of adults smoking daily. In comparison, Spain has a daily smoking rate of 23%."
467,Which countries have less guns per capita than Australia?,The United Kingdom has less guns per capita than Australia,https://en.wikipedia.org/wiki/Estimated_number_of_civilian_guns_per_capita_by_country,"According to the Small Arms Survey 2017, several countries have less guns per capita than Australia, including Japan, South Korea, Singapore, and China. However, it is important to note that gun ownership rates and regulations vary greatly among countries, and comparisons should be made with caution."
468,Which countries have the most guns in total after the United States?,"India, China, Pakistan, and Russia have the most guns in total after the United States",https://en.wikipedia.org/wiki/Estimated_number_of_civilian_guns_per_capita_by_country,"According to a 2018 report by the Small Arms Survey, the countries with the most guns in total after the United States are India, China, and Russia. However, the report notes that data on gun ownership is often incomplete or unreliable, making it difficult to determine exact numbers."
469,Which country in Northern Europe has the best scores on PISA since 2015?,Estonia has the best scores on PISA since 2015,https://en.wikipedia.org/wiki/Programme_for_International_Student_Assessment,"Finland has consistently ranked among the top countries in Northern Europe on the Programme for International Student Assessment (PISA) since 2015. In the latest PISA results released in 2018, Finland ranked 3rd in reading, 5th in science, and 11th in mathematics among 79 participating countries."
470,The place with the most Nobel Laureates of all time is which country?,The place with the most Nobel Laureates of all time is the United States,https://en.wikipedia.org/wiki/List_of_countries_by_Nobel_laureates_per_capita,"The country with the most Nobel Laureates of all time is the United States, with a total of 385 laureates as of 2021. This is followed by the United Kingdom with 132 laureates and Germany with 107 laureates. The Nobel Prize is awarded annually in the fields of Physics, Chemistry, Medicine, Literature, Peace, and Economic Sciences."
471,Which country in Europe has the most Nobel Laureates in science?,The country with the most Nobel Laureates in science is the United Kingdom,https://en.wikipedia.org/wiki/List_of_countries_by_Nobel_laureates_per_capita,"The country in Europe with the most Nobel Laureates in science is the United Kingdom, with a total of 132 laureates across all categories as of 2021. This includes 73 laureates in the sciences, including physics, chemistry, and medicine/physiology. Germany is the second-highest with 107 laureates, followed by France with 69."
