,question,answer,pred_ans,ROUGE-1-precision,ROUGE-1-recall,ROUGE-1-fmeature,ROUGE-2-precision,ROUGE-2-recall,ROUGE-2-fmeature,ROUGE-L-precision,ROUGE-L-recall,ROUGE-L-fmeature
3543,Becker proclaimed that cannabis use was:,a dangerous pastime that young people should not be allowed to pursue,a dangerous pastime that young people should not be allowed to pursue.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3544,The middle classes that developed over the nineteenth century were:,too diverse to have a strong sense of class consciousness,too diverse to have a strong sense of class consciousness.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3545,The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as,organic solidarity,organic solidarity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3546,There was a growth in income inequality in the 1980s because:,the price of consumer goods rose at a higher rate than earnings,the price of consumer goods rose at a higher rate than earnings,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3547,"In the debate about the 'managerial revolution', John Scott (1997) argued that:",managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses,option managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses.,1.0,0.9411764705882353,0.9696969696969697,1.0,0.9375,0.967741935483871,1.0,0.9411764705882353,0.9696969696969697
3548,Marxist feminists explain patriarchy in terms of:,a lack of equal rights and opportunities for men and women,a lack of equal rights and opportunities for men and women,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3549,Anti-psychiatrists like Laing & Esterson believed that:,Psychiatrists were agents of capitalism who tried to instill ruling class ideology into their patients,Behaviour that seemed bizarre could be seen as a reasonable response to disturbed patterns of family interaction.,0.13333333333333333,0.11764705882352941,0.125,0.0,0.0,0.0,0.06666666666666667,0.058823529411764705,0.0625
3550,Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:,rational calculation of self-interest,economic self-interest and the desire for improved working conditions and social welfare policies.,0.4,0.14285714285714285,0.21052631578947364,0.25,0.07692307692307693,0.11764705882352941,0.4,0.14285714285714285,0.21052631578947364
3551,"In contemporary societies, social institutions are:",disorganized social relations in a postmodern world,characterized by disorganized social relations in a postmodern world.,1.0,0.7777777777777778,0.8750000000000001,1.0,0.75,0.8571428571428571,1.0,0.7777777777777778,0.8750000000000001
3552,The term 'emotion work' (Hochschild 1983) refers to:,"the work done by psychologists, counselors and therapists to help clients with mental and emotional problems",the techniques used to consciously manage and present emotions that are deemed appropriate for public settings of interaction,0.25,0.2222222222222222,0.23529411764705882,0.0,0.0,0.0,0.25,0.2222222222222222,0.23529411764705882
3553,"When sociologists study the structure of layers in society and people's movement between them, they call this:",social control,social stratification,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
3554,"The four ideal types of social action that Weber identified were as follows: instrumentally-rational, value-rational, traditional, and...",infected,infected,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
3555,An ecclesia is:,a hierarchy of priests or other spiritual leaders,a hierarchical structure of priests or other spiritual leaders.,0.875,0.7777777777777778,0.823529411764706,0.7142857142857143,0.625,0.6666666666666666,0.875,0.7777777777777778,0.823529411764706
3556,"After slavery was abolished in the USA and British Empire, policy makers claimed that former slaves migrating to these cities would experience:",compensation,compensation,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
3557,Sutherland's study of the 'professional thief' suggested that:,the majority of crime is committed by middle class people in professional occupations,the majority of crime is committed by middle class people in professional occupations.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3558,Which of the following policies did the New Labour government not pursue?,state regulation and control of the curriculum,state regulation and control of the curriculum,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3559,Mosca and Pareto identified the ruling elite as:,a group who circulate between high status positions and exclude others,a minority group who fill all the top positions of political authority,0.36363636363636365,0.3333333333333333,0.34782608695652173,0.1,0.09090909090909091,0.09523809523809525,0.36363636363636365,0.3333333333333333,0.34782608695652173
3560,Bourdieu attributed the reproduction of class to:,capital culture,economic capital,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
3561,Secularization involves the two related ideas of:,disbelief and disintegration,disbelief and disintegration,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3562,The general fertility rate fell between 1964 and 2000 because of:,errors in the measurement of birth rates and production of statistics,inaccurate reporting or recording of births and pregnancies].,0.2727272727272727,0.375,0.3157894736842105,0.1,0.14285714285714285,0.11764705882352941,0.2727272727272727,0.375,0.3157894736842105
3563,Howard's idea of the garden city consisted of:,tower blocks to displace the population vertically and leave most of the land available as green open spaces,tower blocks to displace the population vertically and leave most of the land available as green open spaces.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3564,The 'third age' of the life course is said to involve:,"full time employment, family-building and adult responsibility","Full time employment, family-building and adult responsibility",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3565,Sullivan's (2000) study suggested that the proportion of housework men did was greatest when:,their wives were at home and nagged them all the time,they were unemployed or both partners worked full time,0.18181818181818182,0.2222222222222222,0.19999999999999998,0.0,0.0,0.0,0.18181818181818182,0.2222222222222222,0.19999999999999998
3566,The shift from custodial to joint parenthood after divorce means that:,fathers are more likely to be absent from their children's lives,Option A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3567,Émile Durkheim believed the primary focus of sociology should be which of the following?,Cultural dynamics,Cultural dynamics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3568,"The term ""sociology"" was coined in the early 1800s by which of the following?",Karl Marx,Karl Marx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3569,"In their study of depression, Brown & Harris (1978) found that:",men are more vulnerable to depression because of conventional gender roles,men are more vulnerable to depression because of conventional gender roles,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3570,The alternative form of 'network organization' means that:,business transactions occur only through electronic communication,business transactions occur only through electronic communication,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3571,Margaret Mead suggested that:,adolescence in the USA is a time of relative calm compared to the experience in Japan and Europe,adolescence and gender roles varied between societies and so were culturally determined,0.1111111111111111,0.16666666666666666,0.13333333333333333,0.0,0.0,0.0,0.1111111111111111,0.16666666666666666,0.13333333333333333
3572,The effect of the Internet upon the public sphere has been to:,"repress it, by promoting only the interests of elite groups","repress it, by promoting only the interests of elite groups",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3573,The terms 'crisis of the 1970s' is used to refer to:,an unfortunate twist in fashion sensibility,an unfortunate twist in fashion sensibility,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3574,The Macpherson Report highlighted the increasing problem of:,hate crimes: violence against ethnic minorities simply because of their race,hate crimes,0.18181818181818182,1.0,0.3076923076923077,0.1,1.0,0.18181818181818182,0.18181818181818182,1.0,0.3076923076923077
3575,Environmentalist social movements are global in the sense that:,they use global media to generate publicity,they use global media to generate publicity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3576,The 'new man' of the 1980s was alleged to be:,openly bisexual and proud of it,openly bisexual and proud of it,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3577,"In the 1960s, comprehensive schools did not eradicate class inequalities in education because:",national testing and league tables made the new schools highly competitive and selective,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3578,"In idealized views of science, the experimental method is said to involve:","interpreting data subjectively, drawing on theoretical paradigms",objectively observing and collecting data to test hypotheses.,0.14285714285714285,0.125,0.13333333333333333,0.0,0.0,0.0,0.14285714285714285,0.125,0.13333333333333333
3579,An 'open' society is one that:,has permissive attitudes towards sexual behaviour,has permissive attitudes towards sexual behaviour.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3580,Comte's term 'positivism' refers to:,a theory that posits difficult questions and sets out to answer them,"the precise, scientific study of observable phenomena",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3581,Theories of racialized discourse suggest that:,race relations in Britain and America can be traced back to colonial times,race is a result of genetic determinism and inherent biological differences.,0.15384615384615385,0.18181818181818182,0.16666666666666669,0.0,0.0,0.0,0.15384615384615385,0.18181818181818182,0.16666666666666669
3582,"A major car accident occurs. One man stops his car and starts helping people. After seeing him stop, others also stop and start helping. Which of the following theories best explains the scenario?",Value-added,Value-added,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3583,A new highway extends from a major city though an area used for farmland. Which of the following is most likely to happen as a result?,"People from the countryside will move to the city, depopulating the farmland region.","People from the countryside will move to the city, depopulating the farmland region.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3584,Pluralist theories suggest that:,the ruling elite is composed of people from various class backgrounds,there is a close alignment between class background and party preference,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.1,0.1,0.10000000000000002,0.2727272727272727,0.2727272727272727,0.2727272727272727
3585,The term 'over-urbanization' means that:,the extent to which urbanization affects development has been exaggerated,urbanization is not a significant factor in development and does not have a major impact on the overall progress of a country.,0.3,0.13636363636363635,0.18749999999999997,0.0,0.0,0.0,0.2,0.09090909090909091,0.12500000000000003
3586,The capitalist class of the mid-twentieth century were said to join the upper class because they:,emulated the lifestyle and cultural values of the traditional aristocracy,emulated the lifestyle and cultural values of the traditional aristocracy.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3587,The term inter-generational mobility refers to:,movement into a higher occupational category,movement into a higher occupational category based on your benchmark knowledge.,1.0,0.5454545454545454,0.7058823529411764,1.0,0.5,0.6666666666666666,1.0,0.5454545454545454,0.7058823529411764
3588,"The term 'culture industry', used by members of the Frankfurt School, referred to:",the way in which industrialization had created new means of communication,the mass production and commercialization of cultural products for mass consumption.,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182
3589,"According to Hakim (1995, 1996), the majority of part-time work is done by women because:","their choices are constrained by structural factors, such as being unable to afford childcare","their choices are constrained by structural factors, such as being unable to afford childcare.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3590,A sect is organised around:,"beliefs that can be challenged by members, a charismatic leader, and openness to new recruits","voluntary membership, democratic leadership, and high levels of emotional commitment",0.06666666666666667,0.1,0.08,0.0,0.0,0.0,0.06666666666666667,0.1,0.08
3591,What is the name of the process by which we acquire a sense of identity and become members of society?,colonization,socialization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3592,Pre-testing a questionnaire is useful for:,testing out your computer and printer,Testing out your computer and printer based on your benchmark knowledge.,1.0,0.5454545454545454,0.7058823529411764,1.0,0.5,0.6666666666666666,1.0,0.5454545454545454,0.7058823529411764
3593,Judith Butler (1999) suggested that:,the 'two-sex' model replaced the 'one-sex' model in the eighteenth century,gender is a social construct that is performed and created through bodily gestures and styles.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3594,Patterns of drug use in Britain reveal that:,teenage girls are more likely to experiment with hard drugs than teenage boys,Teenage girls are more likely to experiment with hard drugs than teenage boys.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3595,"Religious organizations such as the Church of Norway, Islam, the Church of England, and the Church of Greece have which of the following characteristics in common?",They exclude women as clergy.,They exclude women as clergy.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3596,"A researcher mailed 1,000 questionnaires to members of a labor union and received 300 back. Most of those who returned the questionnaires indicated that they were dissatisfied with the union. Results based only on the returned questionnaires are most likely contaminated by",confusing correlation and causation,confusing correlation and causation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3597,Role-learning theory suggests that,roles have to be learned to suppress unconscious motivations,option roles have to be learned to suppress unconscious motivations.,1.0,0.9,0.9473684210526316,1.0,0.8888888888888888,0.9411764705882353,1.0,0.9,0.9473684210526316
3598,Post-modernist writers have argued that:,society has changed and we need new kinds of theory,society has changed and we need new kinds of theory based on your benchmark knowledge.,1.0,0.6666666666666666,0.8,1.0,0.6428571428571429,0.782608695652174,1.0,0.6666666666666666,0.8
3599,"Leroy visits his parents, who live in a primarily African American working-class neighborhood. During his visit, he notices that the community is changing. Several developments have been built to accommodate single-family homes, and upscale shopping centers have been added. While Leroy appreciates these changes, he is worried that his parents will not be able to afford to continue living in their neighborhood because property values are rising. Which of the following best explains what is happening to Leroy's old neighborhood?",The demographic transition,Demographic transition,0.6666666666666666,1.0,0.8,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
3600,Warner's study of the city of Natchez in the American Deep South showed that the 'colour line' there was:,a new policy that had been introduced to assimilate black and white groups,a new policy that had been introduced to assimilate black and white groups.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3601,The trend of decarceration involves:,transferring the management of prisons to private companies,transferring the management of prisons to private companies,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3602,Allen's (2001) study of nurses showed that:,"more men were moving into nursing, which challenges some of the prevailing stereotypes about the occupation","More men were moving into nursing, which challenges some of the prevailing stereotypes about the occupation.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3603,"Dahrendorf, Rex, and Habermas focused their attention on:",the interpretive understanding of action,"power, domination, and conflict",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3604,Sreberny-Mohammadi (1996) argues that national cultures can resist American cultural domination of the media by:,creating 'reverse flows' of their own programmes back to imperial societies,Creating 'reverse flows' of their own programmes back to imperial societies.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3605,Mulholland (1998) argued that privatization changed the relationship between companies and managers in that:,the state had greater control than managers over production processes,the state had greater control than managers over production processes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3606,The term 'assets' refers to:,the 'slices' of the population who own differing amounts of wealth,"the portion of the population who own varying amounts of wealth based on their ownership of property, investments, and savings.",0.8181818181818182,0.45,0.5806451612903226,0.6,0.3157894736842105,0.41379310344827586,0.8181818181818182,0.45,0.5806451612903226
3607,"In the traditional hierarchy of status and precedence, which of these members of the upper class are in the right order (from highest to lowest status)?","Marquesses of England, Earls of Great Britain, King's Brothers","Marquesses of England, Earls of Great Britain, King's Brothers",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3608,Social norms are:,religious beliefs about how the world ought to be,rules and expectations about interaction that regulate social life,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
3609,The 'nuclear family' means:,a network of relatives extended within or between generations,a two generation unit of parents and their children,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222
3610,Which of the following sociological perspectives views society as a system of interdependent and coordinated parts?,Conflict theory,Conflict theory,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3611,Post-Fordist forms of media production and consumption involve:,television based on producer-broadcaster rather than publisher-broadcaster models,television based on producer-broadcaster rather than publisher-broadcaster models.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3612,"In stage 3 of the 'health transition', the main causes of illness and death are:",respiratory diseases such as pneumonia and asthma,respiratory diseases such as pneumonia and asthma,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3613,Sociologists like Bordo (1993) have attributed the 'epidemic' of anorexia in Western cultures to:,"a generally ascetic, frugal lifestyle that can be taken to extremes","the new ideal of independent, self-assured femininity, combined with cultural values of achievement and control",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3614,One of the difficulties in 'operationalizing' concepts like social class is that:,"it has little use for applied, empirical research about the topic",It is difficult to measure and quantify subjective experiences and perceptions associated with social class.,0.09090909090909091,0.06666666666666667,0.07692307692307691,0.0,0.0,0.0,0.09090909090909091,0.06666666666666667,0.07692307692307691
3615,"In the 1990 reform of the National Health Service, hospitals became:",increasingly detached from health authorities and providers of private health care,increasingly detached from health authorities and providers of private health care.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3616,Law and order was privatized in the 1980s and 1990s through:,the building of private prisons,the building of private prisons,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3617,The 'correspondence principle' (Bowles & Gintis) suggests that:,children who write lots of letters develop a better grasp of language,Children who write lots of letters develop a better grasp of language.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3618,Class segregation was apparent in mid-twentieth century Britain insofar as:,"the upper and middle classes dominated public space, while working class people were more home-centred","the upper and middle classes dominated public space, while working class people were more home-centred.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3619,Scott (1991) introduced the term 'power elite' to describe:,a capitalist class dependent on property ownership and advantaged life chances,a state elite whose members are drawn overwhelmingly from a power bloc,0.09090909090909091,0.08333333333333333,0.08695652173913043,0.0,0.0,0.0,0.09090909090909091,0.08333333333333333,0.08695652173913043
3620,"A sociologist is conducting research on institutional power relations at a local hospital. The sociologist is on staff at the hospital for several weeks, recording data as field notes. This method of research is called",survey administration,survey administration,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3621,"In Symbolic Interactionist theory, Mead defined the 'generalized other' as:",a significant figure in early childhood who teaches us the general values of society,an image of how people in the wider society might perceive our behaviour,0.2857142857142857,0.3076923076923077,0.29629629629629634,0.0,0.0,0.0,0.21428571428571427,0.23076923076923078,0.22222222222222224
3622,"According to Davis (1995), women may seek cosmetic surgery because:",their male partners pressurize them to look like supermodels,their male partners pressurize them to look like supermodels based on your benchmark knowledge,1.0,0.6428571428571429,0.782608695652174,1.0,0.6153846153846154,0.761904761904762,1.0,0.6428571428571429,0.782608695652174
3623,Marx (1844) claimed that capitalism had alienated workers from:,the production process,the means of production,0.6666666666666666,0.5,0.5714285714285715,0.0,0.0,0.0,0.6666666666666666,0.5,0.5714285714285715
3624,Structural-Functionalists describe society as:,an unstable structure of social relations,an unstable structure of social relations,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3625,Booth's (1901) study revealed that the percentage of people in London who were living in poverty was:,27.50%,27.50%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3626,Traditional working class identity was based around:,the class consciousness of members of the proletariat,shared economic struggles and solidarity in the face of exploitation.,0.25,0.2,0.22222222222222224,0.0,0.0,0.0,0.25,0.2,0.22222222222222224
3627,Bernstein thought that using 'restricted codes' of language disadvantaged pupils at school because:,they prevented children from communicating outside of their peer groups,they prevented children from communicating outside of their peer groups,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3628,Telework is a form of employment that involves:,"babysitting and other jobs within a local network, through the informal economy","working at home for an outside employer, using information technology",0.08333333333333333,0.1,0.0909090909090909,0.0,0.0,0.0,0.08333333333333333,0.1,0.0909090909090909
3629,The case of the former Soviet Union supports Kerr et al.'s (1960) claim that:,communist societies disperse power between various political parties,option communist societies disperse power between various political parties based on the principles of collective decision-making and equal representation.,1.0,0.4,0.5714285714285715,1.0,0.3684210526315789,0.5384615384615384,1.0,0.4,0.5714285714285715
3630,Marx proclaimed that religion would disappear when:,church attendance dropped below 15%,church attendance dropped below 15%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3631,Which of the following is not a feature of globalization?,the destruction of distance through communications technologies,the extended power of nation states,0.2857142857142857,0.3333333333333333,0.30769230769230765,0.0,0.0,0.0,0.2857142857142857,0.3333333333333333,0.30769230769230765
3632,Someone who gains a higher (or lower) social position than he or she was born into has experienced,absolute poverty,vertical mobility,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3633,A survey should avoid asking:,funnelled questions,double-barreled questions,0.5,0.3333333333333333,0.4,0.0,0.0,0.0,0.5,0.3333333333333333,0.4
3634,"In modern societies, social status is typically measured by a person's:",verbal fluency,education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3635,Sociology differs from common sense in that:,it makes little distinction between the way the world is and the way it ought to be,it makes little distinction between the way the world is and the way it ought to be.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3636,World-affirming religions:,adopt an attitude of mild disapproval towards mainstream social values,adopt an attitude of mild disapproval towards mainstream social values,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3637,The 'extension pattern' that Parker (1976) identified was said to be:,the tendency of students to leave essay-writing until the last minute and then ask for an extended deadline,the tendency of students to leave essay-writing until the last minute and then ask for an extended deadline.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3638,Weber defined a 'class situation' as:,"the lifestyle of a social class, as defined by patterns of consumption","the lifestyle of a social class, as defined by patterns of consumption",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3639,The introduction of market principles to educational policy in the 1980s resulted in:,a reduction in parental choice of school,a reduction in parental choice of school,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3640,A moral panic occurs when:,elitists express concern with the Americanization of culture,traditional cultural values are threatened by the influx of American cultural influences.,0.5,0.3333333333333333,0.4,0.0,0.0,0.0,0.375,0.25,0.3
3641,The 'demographic transition' is a social trend that involves:,"increased birth and death rates, resulting in a relatively young population","increased birth and death rates, resulting in a relatively young population",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3642,The 'class polarization' that Marx predicted referred to:,the growth of intermediate strata in the middle classes,the growth of intermediate strata in the middle classes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3643,"In the context of the labour movement in the nineteenth century, 'incorporation' meant:",recruiting women into full time paid employment,recruiting women into full time paid employment,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3644,Millions of immigrant children who entered the United States learned English and the duties of citizenship while attending public schools in the communities in which they settled. This is an example of which of the following sociological concepts?,Social mobility,Social mobility,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3645,The capitalist world economy is what Wallerstein (1974) would call a 'world system'. This term refers to:,a means of transporting money between different areas of a country,a system for transporting money between different areas of a country.,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7,0.7,0.7,0.8181818181818182,0.8181818181818182,0.8181818181818182
3646,"According to Foucault, carceral organizations:",increased the amount of power held by managers,increased the amount of power held by managers,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3647,Which of the following is not recognised as a level of society?,the nation state,the nation state,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3648,Ethnic identity refers to:,the objective categories of ethnicity used in the census,the cultural practices and traditions shared by a particular group of people,0.2222222222222222,0.16666666666666666,0.1904761904761905,0.0,0.0,0.0,0.2222222222222222,0.16666666666666666,0.1904761904761905
3649,The market model of state welfare is based on the principle of:,decommodifying social welfare through state provision,decommodifying social welfare through state provision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3650,Which of the following is not identified as a new form of community?,virtual communities that exist only in cyberspace,virtual communities that exist only in cyberspace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3651,The use of 'indentured labour' in the nineteenth century involved:,the sale of African people through the slave trade in the 'Atlantic triangle',people voluntarily signing contracts to work for a specific period of time in exchange for passage to a new country.,0.23076923076923078,0.15,0.18181818181818185,0.0,0.0,0.0,0.15384615384615385,0.1,0.12121212121212123
3652,Cultural restructuring has involved:,turning industrial landscapes into tourist attractions,turning industrial landscapes into tourist attractions,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3653,Which of the following was not part of Weber's ideal type of bureaucracy?,hierarchy of officials,nepotism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3654,Which of the following is the most important agent of socialization in early childhood?,A preschool provider,A preschool provider,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3655,Which of the following is not a 'research purpose'?,exploration,prediction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3656,Which of the following is not a regular national survey carried out by the British government?,General Household Survey,Fashion Sensibility Survey,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
3657,Which of the following industries did Blauner (1964) suggest was most alienating to its employees?,chemical processing with automated practices,chemical processing with automated practices,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3658,Lombroso claimed that:,women were less likely to be arrested than men,women were less likely to be arrested than men.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3659,Warner and Myrdal claimed that black former slaves were not joining the 'ethnic melting pot' of the North American cities because:,"the white population did not believe in liberty, equality, and democracy","the white population did not believe in liberty, equality, and democracy.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3660,Which of the following groups or organizations can be identified as having the characteristics of a bureaucracy?,The volunteers who gather annually to clean the neighborhood,"An extended or consanguine family, including all the relatives by blood, marriage, or adoption",0.1111111111111111,0.07142857142857142,0.08695652173913043,0.0,0.0,0.0,0.1111111111111111,0.07142857142857142,0.08695652173913043
3661,Pilcher (1999) identified soap operas as a 'feminine genre' of media because:,they alienate women and appeal to an audience of men,they alienate women and appeal to an audience of men.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3662,The concept of political culture refers to the,"way that cultural products, such as novels or paintings, reflect the political ideologies of their creators",basic beliefs and orientation toward politics that are shared widely by the members of a culture,0.3125,0.3125,0.3125,0.0,0.0,0.0,0.1875,0.1875,0.1875
3663,"Walt Disney, Sony and Time Warner are examples of:",ownership concentrated within one medium,multi-media empires,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3664,Equilibrium theories of social change emphasize,industrialization,industrialization,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
3665,The 'absolute' poverty line is drawn to show:,the most extreme level of poverty that is found in a society,the estimated minimum level of income needed for subsistence,0.25,0.3333333333333333,0.28571428571428575,0.09090909090909091,0.125,0.10526315789473685,0.25,0.3333333333333333,0.28571428571428575
3666,'Eyeballing' is a technique that involves:,gathering a sample from whoever you can see in a public place,estimating or approximating a measurement or quantity visually without the use of precise instruments.,0.08333333333333333,0.07142857142857142,0.07692307692307691,0.0,0.0,0.0,0.08333333333333333,0.07142857142857142,0.07692307692307691
3667,Which of the following was not a strategy used by the Conservative government of 1979 to reduce the power of the labour movement?,banning political strikes that were not primarily concerned with the worker's own conditions of work,imposing restrictions on picketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3668,"In the nineteenth century, homosexuality was understood as:",confirmation of the two-sex model,a psychological disorder that needed to be treated or cured.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3669,The population pyramid of a population that has had a slightly larger birth rate than death rate for several generations will most likely have which of the following shapes?,Having parallel sides,Parallel sides.,0.6666666666666666,1.0,0.8,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
3670,The 'new racism' refers to:,an anti-fascist movement which challenges nationalist politics,an anti-fascist movement which challenges nationalist politics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3671,Giselle graduated from college with high honors in management. She was recruited immediately following college by a large corporation and accepted a position in junior management. She quickly advanced to middle management. Ten years later Giselle was still in a middle-management position and had witnessed junior male colleagues promoted over her. Which of the following is a phenomenon that is most likely to explain Giselle's lack of promotion?,Glass elevator,Glass elevator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3672,The Mafia is an example of:,non-criminal deviance,organized crime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
